Geography,State,StateFIPS,CountyFIPS,,LandArea,Population
"Autauga County, Alabama",AL,1,1,,1543550050,43671
"Baldwin County, Alabama",AL,1,3,,4134518782,140415
"Barbour County, Alabama",AL,1,5,,2291889572,29038
"Bibb County, Alabama",AL,1,7,,1613627425,20826
"Blount County, Alabama",AL,1,9,,1672057889,51024
"Bullock County, Alabama",AL,1,11,,1618775183,11714
"Butler County, Alabama",AL,1,13,,2012076972,21399
"Calhoun County, Alabama",AL,1,15,,1575907564,112249
"Chambers County, Alabama",AL,1,17,,1546657021,36583
"Cherokee County, Alabama",AL,1,19,,1432576264,23988
"Chilton County, Alabama",AL,1,21,,1797396705,39593
"Choctaw County, Alabama",AL,1,23,,2365990097,15922
"Clarke County, Alabama",AL,1,25,,3207377186,27867
"Clay County, Alabama",AL,1,27,,1567134311,14254
"Cleburne County, Alabama",AL,1,29,,1450940300,14123
"Coffee County, Alabama",AL,1,31,,1758576346,43615
"Colbert County, Alabama",AL,1,33,,1539831753,54984
"Conecuh County, Alabama",AL,1,35,,2203546316,14089
"Coosa County, Alabama",AL,1,37,,1689820597,12202
"Covington County, Alabama",AL,1,39,,2677571159,37631
"Crenshaw County, Alabama",AL,1,41,,1578805448,13665
"Cullman County, Alabama",AL,1,43,,1912519740,77483
"Dale County, Alabama",AL,1,45,,1453174505,49129
"Dallas County, Alabama",AL,1,47,,2540033739,46365
"DeKalb County, Alabama",AL,1,49,,2014784830,64452
"Elmore County, Alabama",AL,1,51,,1609044562,65874
"Escambia County, Alabama",AL,1,53,,2453710209,38440
"Etowah County, Alabama",AL,1,55,,1385183532,103459
"Fayette County, Alabama",AL,1,57,,1625632174,18495
"Franklin County, Alabama",AL,1,59,,1646312169,31223
"Geneva County, Alabama",AL,1,61,,1492559453,25764
"Greene County, Alabama",AL,1,63,,1672782673,9974
"Hale County, Alabama",AL,1,65,,1667267304,17185
"Henry County, Alabama",AL,1,67,,1455045371,16310
"Houston County, Alabama",AL,1,69,,1503124582,88787
"Jackson County, Alabama",AL,1,71,,2793932065,53926
"Jefferson County, Alabama",AL,1,73,,2881639146,662047
"Lamar County, Alabama",AL,1,75,,1566546589,15904
"Lauderdale County, Alabama",AL,1,77,,1733895504,87966
"Lawrence County, Alabama",AL,1,79,,1795852273,34803
"Lee County, Alabama",AL,1,81,,1576552257,115092
"Limestone County, Alabama",AL,1,83,,1471241120,65676
"Lowndes County, Alabama",AL,1,85,,1859446869,13473
"Macon County, Alabama",AL,1,87,,1581247720,24105
"Madison County, Alabama",AL,1,89,,2084739506,276700
"Marengo County, Alabama",AL,1,91,,2530533970,22539
"Marion County, Alabama",AL,1,93,,1920255331,31214
"Marshall County, Alabama",AL,1,95,,1468677998,82231
"Mobile County, Alabama",AL,1,97,,3193690623,399843
"Monroe County, Alabama",AL,1,99,,2656951618,24324
"Montgomery County, Alabama",AL,1,101,,2045477293,223510
"Morgan County, Alabama",AL,1,103,,1507925725,111064
"Perry County, Alabama",AL,1,105,,1863454321,11861
"Pickens County, Alabama",AL,1,107,,2282862165,20949
"Pike County, Alabama",AL,1,109,,1737968630,29605
"Randolph County, Alabama",AL,1,111,,1504900000,22380
"Russell County, Alabama",AL,1,113,,1661003813,49756
"St. Clair County, Alabama",AL,1,115,,1641410695,64742
"Shelby County, Alabama",AL,1,117,,2058248819,143293
"Sumter County, Alabama",AL,1,119,,2343771409,14798
"Talladega County, Alabama",AL,1,121,,1915378668,80321
"Tallapoosa County, Alabama",AL,1,123,,1859437932,41475
"Tuscaloosa County, Alabama",AL,1,125,,3430104517,164875
"Walker County, Alabama",AL,1,127,,2057463774,70713
"Washington County, Alabama",AL,1,129,,2798888327,18097
"Wilcox County, Alabama",AL,1,131,,2301677587,13183
"Winston County, Alabama",AL,1,133,,1591383854,24843
"Aleutians East Borough, Alaska",AK,2,13,,18099208933,2697
"Aleutians West Census Area, Alaska",AK,2,16,,11387589341,5465
"Anchorage Municipality, Alaska",AK,2,20,,4395766279,260283
"Bethel Census Area, Alaska",AK,2,50,,1.0524E+11,16006
"Bristol Bay Borough, Alaska",AK,2,60,,1307725488,1258
"Denali Borough, Alaska",AK,2,68,,33021449878,1893
"Dillingham Census Area, Alaska",AK,2,70,,48367450285,4922
"Fairbanks North Star Borough, Alaska",AK,2,90,,19078483082,82840
"Haines Borough, Alaska",AK,2,100,,6070244109,2392
"Juneau City and Borough, Alaska",AK,2,110,,7036141369,30711
"Kenai Peninsula Borough, Alaska",AK,2,122,,41474147137,49691
"Ketchikan Gateway Borough, Alaska",AK,2,130,,3194034374,14070
"Kodiak Island Borough, Alaska",AK,2,150,,16989921131,13913
"Lake and Peninsula Borough, Alaska",AK,2,164,,61594989981,1823
"Matanuska-Susitna Borough, Alaska",AK,2,170,,63924889623,59322
"Nome Census Area, Alaska",AK,2,180,,59572081811,9196
"North Slope Borough, Alaska",AK,2,185,,2.30035E+11,7385
"Northwest Arctic Borough, Alaska",AK,2,188,,92976270484,7208
"Prince of Wales-Outer Ketchikan Census Area, Alaska",AK,2,201,,19193422932,6146
"Sitka City and Borough, Alaska",AK,2,220,,7443577063,8835
"Skagway-Hoonah-Angoon Census Area, Alaska",AK,2,232,,20451795008,3436
"Southeast Fairbanks Census Area, Alaska",AK,2,240,,64270183513,6174
"Valdez-Cordova Census Area, Alaska",AK,2,261,,88886050122,10195
"Wade Hampton Census Area, Alaska",AK,2,270,,44530953609,7028
"Wrangell-Petersburg Census Area, Alaska",AK,2,280,,15112433221,6684
"Yakutat City and Borough, Alaska",AK,2,282,,19814593290,808
"Yukon-Koyukuk Census Area, Alaska",AK,2,290,,3.77878E+11,6551
"Apache County, Arizona",AZ,4,1,,29020502286,69423
"Cochise County, Arizona",AZ,4,3,,15978796535,117755
"Coconino County, Arizona",AZ,4,5,,48218904679,116320
"Gila County, Arizona",AZ,4,7,,12348294231,51335
