DisasterNumber,State,disasterType,incidentType,Title,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,StateCode,CountyCode,FIPSCode,FIPSName
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,015,06015
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,057,06057
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,027,41027
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,047,41047
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,007,41007
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,099,06099
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,067,41067
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,023,06023
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,067,06067
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,105,06105
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,013,41013
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,033,41033
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,053,41053
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,003,53003
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,041,53041
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,077,53077
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,031,16031
91,IN,DR,Flood,FLOOD,1959,1,29,1959,1,29,18,021,18021
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,063,16063
187,NV,DR,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",1965,1,18,1965,1,18,32,029,32029
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,025,27025
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,021,06021
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,063,06063
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,011,41011
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,103,06103
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,031,41031
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,051,41051
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,071,41071
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,039,53039
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,007,06007
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,049,06049
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,003,41003
183,CA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,06,095,06095
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,023,41023
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,043,41043
184,OR,DR,Flood,HEAVY RAINS & FLOODING,1964,12,24,1964,12,24,41,063,41063
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,023,53023
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,075,53075
185,WA,DR,Flood,HEAVY RAINS & FLOODING,1964,12,29,1964,12,29,53,061,53061
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,015,16015
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,049,16049
186,ID,DR,Flood,HEAVY RAINS & FLOODING,1964,12,31,1964,12,31,16,077,16077
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,013,27013
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,041,27041
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,065,27065
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,093,27093
188,MN,DR,Flood,FLOODING,1965,4,11,1965,4,11,27,147,27147
